,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
18,0,2,0,3,0,2,0,0,0,0,2,0,0,4,0,5,3,2,4,0,6,0,0,0,0,8,0,0,0,0,0,0,0,7,3,0,2,3,10,16,16,28,19,9,0
19,0,0,1,13,3,0,15,5,0,0,0,0,0,0,1,0,4,2,15,5,0,2,0,0,0,0,21,11,13,3,0,0,0,0,3,0,0,0,2,7,14,18,26,16,22
20,0,0,0,14,12,2,13,11,2,0,0,0,0,0,0,0,0,3,15,14,4,0,0,0,0,0,13,18,24,14,2,0,0,0,0,0,0,0,0,0,5,12,16,23,29
21,0,0,2,4,16,11,3,12,10,1,0,0,0,0,0,0,2,2,5,20,14,4,0,0,5,0,3,11,17,23,13,2,0,0,0,0,0,0,2,0,0,4,10,15,22
22,0,0,0,0,6,22,12,6,18,11,1,0,2,0,1,0,0,2,0,10,17,13,7,0,0,2,0,1,8,20,29,19,7,0,3,0,0,0,0,3,0,0,0,12,12
23,0,0,0,13,3,12,35,25,13,15,9,0,0,1,0,0,0,0,15,5,9,13,9,3,0,0,15,5,14,10,17,27,17,5,0,0,0,0,0,0,1,0,0,2,25
24,0,0,0,3,12,3,25,35,25,13,14,7,1,0,1,0,0,0,5,13,3,8,13,8,1,0,5,13,4,14,10,18,28,19,9,10,2,0,0,0,1,0,0,1,15
25,0,0,0,0,3,18,15,28,41,31,19,12,9,0,1,0,0,0,0,4,10,2,11,12,7,0,0,3,10,7,20,10,20,26,22,12,8,0,0,1,0,0,0,2,5
26,0,0,0,0,0,8,15,18,29,38,28,27,17,5,0,0,0,0,0,0,0,9,1,10,10,3,0,8,0,7,10,20,10,17,23,20,10,5,0,0,1,0,0,0,0
27,0,0,2,0,2,0,7,14,19,28,37,27,26,17,7,0,2,2,0,5,0,0,8,0,15,10,2,0,7,0,6,10,19,9,16,21,18,8,7,0,0,0,0,0,0
28,0,0,0,0,0,0,0,6,12,18,28,34,26,25,15,6,0,0,0,0,4,0,0,5,5,14,7,0,0,6,0,4,9,27,17,18,29,20,10,5,0,0,4,0,0
29,0,5,0,0,0,0,0,0,3,9,21,24,32,27,22,17,7,0,0,0,1,0,0,0,4,6,12,3,0,0,3,0,2,17,24,14,19,27,17,7,1,5,1,2,0
30,0,0,3,0,0,0,0,0,0,1,11,18,23,31,25,21,15,5,0,0,0,0,0,0,0,3,3,9,0,0,0,1,0,10,16,26,22,21,25,15,5,0,9,0,0
31,0,0,1,1,1,0,0,0,0,0,1,11,18,21,31,22,22,16,6,0,0,2,0,2,0,0,1,3,7,0,0,7,1,0,9,17,24,18,22,25,22,12,0,9,0
32,0,0,0,0,1,0,0,0,0,2,0,1,11,14,23,27,22,22,12,5,0,8,0,8,1,0,0,0,0,5,0,2,7,0,0,8,14,19,18,24,27,18,8,0,5
33,0,0,0,13,3,0,13,3,0,0,0,0,1,10,13,21,26,21,35,25,13,0,4,0,7,0,13,3,13,3,2,0,0,4,0,0,5,9,18,15,22,25,16,6,13
34,0,0,0,3,12,2,3,10,2,0,0,0,0,0,9,11,20,25,25,34,24,12,0,3,0,4,3,11,3,10,2,0,0,0,1,0,0,1,8,17,13,18,21,15,5
35,0,0,0,0,3,10,0,0,8,0,0,8,0,0,0,5,11,20,22,24,30,23,13,1,1,0,1,11,8,0,8,2,0,0,0,0,0,0,1,7,17,9,14,19,12
36,0,0,0,0,0,2,6,0,0,7,0,0,7,0,0,0,4,10,16,21,21,29,20,12,2,0,0,1,7,5,0,6,1,0,0,0,0,0,0,0,7,13,5,13,15
37,0,0,0,0,0,0,0,3,0,0,4,8,0,3,0,0,0,4,7,14,17,20,26,19,10,0,0,8,0,4,3,0,4,0,0,0,0,0,0,0,0,3,9,3,10
38,0,0,0,0,0,2,0,1,5,2,0,2,15,5,5,0,0,0,1,6,11,17,21,26,18,8,0,0,5,1,6,3,7,3,1,1,0,0,0,2,0,0,0,16,6
39,0,0,0,0,0,0,0,0,0,7,0,0,5,11,7,1,0,0,0,0,2,19,15,29,25,15,4,0,0,3,0,8,3,4,1,0,0,0,0,2,4,0,0,6,12
40,0,0,2,0,2,0,0,0,0,0,6,0,0,5,10,6,3,2,0,5,0,9,18,19,34,25,15,3,0,0,2,0,7,1,3,0,0,0,2,0,2,3,0,0,5
41,0,0,0,0,0,1,0,0,0,2,0,5,0,0,7,6,6,3,0,0,1,8,8,26,24,30,21,14,4,0,0,4,0,4,0,2,0,0,0,4,2,0,0,0,0
42,0,0,0,13,3,0,14,4,0,0,0,0,2,0,0,5,5,5,16,6,0,0,4,16,25,23,43,33,27,17,5,0,1,0,0,0,0,0,0,0,2,0,0,0,13
43,0,0,0,3,12,6,4,21,11,0,0,0,1,0,0,0,4,4,6,15,5,0,7,6,15,22,33,40,30,34,24,12,1,0,7,0,0,0,0,0,0,0,0,1,3
44,0,0,0,0,2,13,3,11,22,17,7,0,2,0,6,0,0,3,1,5,12,7,0,9,5,12,23,30,37,30,35,25,14,4,0,7,0,0,0,6,0,0,0,2,0
45,0,0,0,13,3,3,26,16,12,19,15,5,0,1,0,4,0,0,16,6,4,8,3,0,8,4,25,20,43,33,27,33,23,11,0,0,4,0,0,0,4,0,0,0,15
46,0,0,0,3,12,4,16,26,17,18,17,12,7,0,7,0,3,0,6,15,5,6,8,5,0,5,15,22,33,43,34,27,35,25,13,0,0,1,0,6,0,1,0,2,5
47,0,0,5,0,8,12,6,15,26,16,16,17,12,5,0,4,5,8,0,8,13,5,5,8,7,0,5,15,23,32,43,35,27,33,24,14,2,0,6,0,7,0,0,0,1
48,0,0,0,2,0,6,9,5,14,23,13,24,15,8,2,0,4,5,5,0,4,12,2,4,6,3,0,13,13,20,30,43,33,24,30,22,12,0,0,3,0,3,0,0,0
49,0,0,5,0,7,0,5,8,5,13,21,14,24,14,7,0,5,9,4,7,0,4,11,2,6,4,2,3,12,12,20,31,43,33,23,29,20,10,5,0,4,0,0,0,0
50,0,1,0,3,0,3,0,2,4,3,13,17,14,23,13,7,0,2,7,2,6,0,1,6,0,5,2,0,2,9,10,19,29,47,37,25,33,23,11,2,0,5,8,0,0
51,0,0,3,0,5,0,2,0,1,3,3,11,16,14,22,12,9,2,1,12,2,5,0,0,11,1,4,0,0,1,8,10,19,35,46,36,24,30,25,15,3,0,3,7,0
52,0,0,1,2,1,4,0,0,0,0,2,3,10,16,13,21,13,10,1,2,12,2,3,0,1,11,1,4,0,0,0,7,9,23,33,44,34,22,31,24,14,2,0,2,6
53,0,0,5,0,7,1,3,0,0,0,0,2,3,8,15,11,26,18,9,3,2,12,2,3,2,1,10,1,3,0,0,1,7,13,22,34,42,32,27,30,25,15,3,0,1
54,0,0,0,2,0,8,0,3,1,6,0,0,4,0,14,11,16,25,15,8,0,4,12,4,2,0,0,7,0,3,1,0,3,5,13,24,32,39,31,33,30,22,12,5,0
55,0,0,1,0,3,0,6,0,3,1,4,0,0,1,4,11,12,17,23,15,5,2,3,14,4,0,0,0,5,0,3,8,0,1,4,14,22,29,40,31,40,30,18,12,3
56,0,0,0,0,0,3,0,6,0,3,0,2,1,0,1,1,10,11,14,21,11,4,2,4,12,2,0,0,0,5,0,4,9,2,1,14,16,19,28,40,32,37,29,19,9
57,0,5,0,0,0,0,1,0,3,0,6,0,0,2,0,3,0,7,9,13,22,12,1,0,3,13,3,0,0,0,2,0,2,8,0,4,13,14,18,28,36,37,38,28,17
58,0,0,4,0,0,3,0,8,3,3,0,3,1,0,2,0,2,0,3,8,12,20,19,9,0,3,9,0,0,7,3,1,1,1,15,5,3,10,13,18,27,33,34,39,29
59,0,0,0,1,0,0,0,0,8,3,2,0,4,0,0,0,0,1,0,1,4,11,20,18,8,0,0,7,0,0,7,4,2,3,5,25,15,3,9,13,19,24,32,35,36
60,0,0,0,13,3,0,13,3,0,5,1,0,0,3,0,0,0,0,14,4,0,1,8,16,17,7,13,3,20,10,0,5,1,0,0,15,22,12,2,6,11,17,22,29,48
