,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130
10,0,0,0,4,0,0,0,0,0,0,1,0,0,1,0,0,0,0,5,0,8,4,7,0,8,15,8,0,6,1,0,0,0,10,4,0,0,8,5,2,2,7,0,0,0,0,1,1,0,0,0,0,0,0,5,4,0,6,0,0,0,0,3,5,0,0,1,0,0,4,0,0,0,0,2,10,0,5,5,0,0,1,9,5,0,0,10,0,0,0,0,2,0,1,5,7,1,0,4,1,1,9,0,0,0,0,7,9,0,0,5,4,0,5,4,15,5,6,2,4,5,0,0,0,2,2,5,0,0,0,0
11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,3,20,10,5,14,5,0,4,0,0,0,0,8,1,0,0,5,4,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,2,0,0,0,0,2,2,0,0,0,0,0,3,0,0,0,0,1,6,0,4,2,0,0,0,6,1,0,0,5,0,0,0,0,0,13,3,2,3,0,0,2,0,0,8,0,0,0,0,6,6,0,0,4,1,0,3,5,12,3,4,0,1,2,0,0,0,0,1,4,0,0,0
12,0,0,0,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,4,5,5,10,17,7,4,11,4,2,0,0,0,2,5,4,0,4,0,4,3,0,0,3,0,0,0,2,0,0,0,0,0,0,4,5,0,1,0,0,0,0,2,4,0,0,2,0,0,5,0,0,0,0,0,4,0,10,4,3,0,0,4,0,2,0,0,0,1,0,0,2,0,3,15,5,0,0,0,2,4,4,0,8,0,0,0,0,2,5,4,0,0,5,0,5,2,17,7,1,0,0,0,0,2,0,4,0,0,0,0
13,0,0,0,0,5,0,0,0,0,0,0,0,0,1,1,1,0,0,0,4,0,1,6,4,10,13,8,4,12,2,2,1,0,0,0,5,6,0,4,2,5,3,0,1,3,5,1,0,2,1,0,1,0,0,0,1,6,0,0,0,0,0,0,0,3,0,0,2,0,0,7,0,0,0,0,0,3,0,8,2,3,5,0,4,0,2,2,0,0,0,5,0,2,0,5,15,5,0,0,0,0,2,9,0,8,1,5,5,0,3,3,6,0,0,6,0,5,7,14,8,1,0,0,5,0,0,0,6,0,0,5
14,0,0,0,0,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,5,7,11,11,2,9,0,0,4,0,0,0,4,3,0,3,0,6,6,0,2,2,3,0,3,0,0,0,0,1,0,0,0,5,7,0,0,0,0,0,0,10,0,3,2,0,0,4,0,3,3,0,7,0,0,7,0,2,2,0,11,1,1,0,0,7,0,2,0,0,0,6,22,12,0,0,0,0,1,6,0,7,0,4,2,0,0,2,3,0,0,3,0,1,4,13,9,4,0,0,2,0,0,0,13,3,0
15,0,2,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,20,10,8,8,0,6,0,0,2,0,0,0,1,0,0,0,0,3,3,0,0,0,1,0,0,0,0,15,5,0,0,0,2,2,4,0,0,0,0,0,0,8,0,0,0,0,0,1,0,0,0,0,4,0,2,2,0,0,0,1,6,0,16,6,0,3,0,0,0,0,0,12,19,9,0,0,0,0,2,3,0,3,0,1,0,0,0,0,0,0,0,0,0,0,3,12,6,1,0,0,4,0,0,3,9,0
16,0,0,8,0,1,0,2,6,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,10,19,11,7,5,0,5,1,0,0,0,0,0,0,0,0,2,1,2,5,0,0,0,2,0,0,0,5,17,7,0,0,0,2,8,10,2,0,0,6,0,0,9,6,0,0,0,0,2,1,0,0,0,1,0,4,1,0,0,0,3,5,6,22,12,0,0,2,0,0,2,2,12,16,6,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,13,3,0,0,0,1,0,0,2,8
17,0,0,0,13,3,0,0,0,3,2,2,0,0,0,0,0,0,0,4,0,2,5,0,0,0,0,9,16,10,9,1,0,2,3,5,0,0,4,0,0,0,0,0,0,0,2,0,2,0,1,0,0,0,7,21,12,2,0,0,0,4,6,4,4,0,2,2,0,5,11,1,0,0,0,0,5,0,4,4,0,0,1,5,0,0,0,2,2,12,18,9,2,0,0,2,0,0,2,8,18,8,4,0,0,0,0,0,0,0,0,4,0,0,4,0,2,0,5,2,0,0,3,9,0,2,0,4,0,0,0,0
18,0,0,0,3,11,1,0,0,0,0,0,0,0,0,0,0,8,8,0,12,2,0,5,0,0,0,0,7,16,6,17,7,0,0,0,13,3,0,12,2,0,0,0,0,0,0,2,0,0,0,9,0,0,0,11,17,12,2,0,0,0,3,2,0,1,0,0,0,0,1,9,9,8,0,0,0,2,0,0,1,0,0,0,13,3,0,0,0,2,9,18,8,1,0,0,0,0,0,10,8,15,5,4,0,8,0,0,0,8,0,0,2,8,0,4,0,10,0,1,2,0,0,11,9,0,0,0,2,0,0,0
19,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,8,16,6,8,8,0,0,2,0,0,0,0,7,12,14,17,7,0,0,8,11,1,8,10,2,0,0,0,0,0,0,0,0,0,8,9,0,0,1,7,17,9,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,7,0,0,0,0,0,0,0,0,0,8,10,2,0,0,0,0,9,14,7,0,0,0,0,0,8,6,5,11,5,0,8,8,0,0,8,8,0,0,10,4,0,0,8,6,0,1,0,0,8,11,5,0,0,0,0,0,0
20,0,0,0,0,0,11,8,0,0,0,0,0,0,0,0,0,0,6,13,4,4,5,0,0,1,0,0,0,0,3,10,13,16,6,0,0,7,8,0,7,9,1,0,0,0,0,0,0,0,0,0,7,5,0,0,0,7,14,6,0,0,0,0,0,0,0,0,0,0,0,0,7,15,16,6,0,0,0,0,0,0,0,0,0,5,9,1,0,0,0,0,5,13,3,0,0,0,0,0,4,3,2,10,1,0,6,7,0,0,7,5,0,0,7,2,0,0,5,2,0,0,0,0,7,7,2,0,0,0,10,0
21,0,0,0,0,0,10,10,7,0,0,0,0,0,0,0,0,0,0,3,11,1,1,4,0,0,0,0,0,0,0,1,9,12,12,3,0,0,4,6,0,6,8,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,4,11,5,0,0,0,0,0,0,0,0,0,0,0,0,5,14,15,5,0,0,0,0,0,0,0,0,0,4,8,0,0,0,0,0,4,9,0,0,0,0,0,0,1,0,1,6,0,0,5,6,0,0,4,4,0,0,5,0,0,0,1,0,0,0,0,0,3,4,0,0,0,10,9
22,0,0,0,2,0,0,6,8,7,0,3,0,0,0,0,0,0,0,1,1,14,4,0,2,0,0,0,0,0,3,0,0,7,15,14,4,0,1,1,5,0,6,6,0,0,0,0,3,0,0,0,0,0,3,5,2,0,0,2,9,3,0,3,1,0,0,3,0,0,2,0,0,0,4,12,16,6,1,1,0,0,0,1,0,0,0,3,7,0,0,0,3,0,2,12,2,0,0,0,3,7,2,0,1,3,0,0,3,3,0,1,3,1,1,0,8,0,2,3,0,0,0,0,0,3,3,5,0,0,0,8
23,0,0,0,5,0,0,0,2,5,7,2,3,0,0,0,0,0,0,4,0,4,19,9,0,0,0,0,0,0,2,0,0,0,9,20,10,3,4,0,0,4,0,3,5,0,0,0,2,0,0,0,0,0,0,7,10,0,0,0,0,5,0,2,7,0,0,2,0,0,5,1,0,0,0,2,16,12,10,5,0,0,0,4,0,0,0,0,0,3,0,0,2,0,0,4,9,0,0,0,2,5,11,1,0,0,0,0,0,0,2,4,0,0,5,0,2,4,5,4,0,0,0,0,0,2,2,7,4,0,0,0
24,0,0,0,0,2,0,0,0,0,3,5,0,0,0,0,0,0,0,0,1,0,9,18,22,12,0,0,0,0,0,0,0,0,0,10,17,9,2,1,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,5,8,0,0,0,0,1,0,1,4,0,0,0,0,0,4,0,0,0,0,6,12,11,9,2,0,0,0,1,0,0,0,0,0,0,0,0,0,13,3,1,5,0,0,0,0,4,10,0,0,0,0,0,0,0,1,3,0,0,3,0,0,2,3,2,0,0,0,0,0,0,1,6,0,0,0
25,0,0,0,0,0,1,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,9,17,21,11,0,0,0,0,0,0,0,0,0,8,22,12,0,6,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,5,6,0,0,0,0,0,0,0,3,0,0,0,0,5,2,0,0,0,0,5,12,11,7,1,2,0,0,0,0,5,0,0,0,2,0,0,3,12,2,0,4,0,0,0,0,6,8,0,0,2,2,0,0,0,6,1,0,0,2,0,0,1,3,1,0,0,2,0,0,0,6,5,0,2
26,0,0,2,0,2,0,1,2,7,0,0,0,4,0,0,0,0,0,0,0,0,0,0,7,24,20,10,2,0,0,0,0,2,0,0,0,12,19,10,0,5,7,2,0,7,1,3,0,2,0,0,0,0,7,0,0,0,4,7,2,2,0,0,0,2,1,1,2,2,0,0,3,0,2,2,0,1,2,9,10,7,1,0,0,1,0,0,4,2,1,0,0,0,0,2,19,9,1,2,0,0,0,0,2,6,0,0,2,0,0,0,0,4,0,0,0,0,0,0,1,10,3,0,0,0,0,0,0,7,4,0
27,0,0,0,0,0,0,2,1,2,3,0,0,1,3,0,0,0,0,0,0,0,0,0,0,14,20,19,10,1,0,0,0,0,0,0,0,2,9,19,10,0,5,7,1,0,8,0,0,0,1,0,0,0,0,4,0,7,0,3,7,2,4,0,0,0,1,0,1,2,0,0,0,3,0,2,0,0,0,0,7,12,8,0,0,0,3,0,0,4,1,2,0,2,0,0,9,18,8,1,0,0,0,1,0,2,13,3,1,2,0,0,0,0,1,7,0,0,0,0,7,1,10,3,1,0,0,0,0,0,5,5
28,0,0,0,0,0,0,0,1,0,0,1,0,0,6,8,5,0,0,0,0,0,0,5,0,4,11,25,18,15,5,0,5,0,0,0,0,0,2,9,19,15,5,4,12,2,1,13,3,0,5,1,5,0,0,0,3,0,5,0,2,6,0,2,0,0,0,0,0,0,1,0,0,0,2,0,2,0,0,0,0,5,13,8,0,0,0,3,0,0,2,2,0,0,1,0,0,8,16,8,0,0,0,1,0,0,3,14,4,1,7,0,0,0,0,0,5,0,0,0,0,6,0,10,4,0,0,0,0,0,0,6
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,3,0,0,0,0,0,0,4,0,1,13,24,18,14,4,0,4,0,0,0,5,0,0,14,19,14,4,4,11,4,3,12,2,0,3,1,2,0,0,0,3,0,4,0,1,5,0,2,0,0,0,0,0,0,6,0,0,0,1,0,1,0,0,0,0,7,13,6,0,0,5,0,0,0,4,1,0,0,0,0,0,7,14,7,0,0,2,0,0,0,5,16,6,1,7,5,0,0,0,0,3,0,0,0,0,5,0,12,3,0,0,5,0,0,2
30,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,11,8,3,0,0,0,0,5,0,3,0,6,14,29,19,14,9,0,2,0,0,0,5,0,4,19,18,13,9,3,12,9,2,11,7,0,8,0,1,0,0,0,1,0,3,0,0,3,0,1,0,0,0,0,0,0,6,0,0,0,1,0,1,0,0,0,1,7,13,4,0,0,2,0,0,1,2,0,0,0,0,0,0,7,12,6,0,1,0,0,0,1,6,16,11,1,7,5,0,0,0,0,2,0,0,0,0,5,2,10,1,0,0,3,0,1
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,19,16,6,8,0,0,0,2,0,0,0,4,17,25,27,17,7,0,0,8,0,0,13,3,9,17,16,13,7,3,12,5,1,11,15,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,14,4,0,0,0,0,0,0,0,0,0,15,10,3,0,0,0,0,0,0,1,0,0,0,0,0,8,3,9,2,0,0,8,0,0,1,14,16,7,0,15,5,0,0,8,0,0,0,0,0,8,5,0,7,0,0,0,1,0
32,0,0,6,0,1,0,2,6,2,0,0,0,0,0,0,4,9,16,13,3,5,0,0,0,4,0,0,1,7,14,22,26,18,8,0,0,7,0,3,12,2,11,18,15,15,6,2,9,6,1,8,14,4,7,0,0,0,0,0,6,6,2,0,0,6,0,0,1,6,0,0,0,5,15,5,0,0,0,0,0,2,0,0,5,15,12,2,0,6,0,0,0,2,0,0,2,0,0,0,5,1,6,1,0,0,8,0,0,4,13,13,6,5,12,5,0,0,4,0,0,2,1,0,7,2,0,4,0,0,0,0
33,0,0,6,2,1,0,2,8,8,0,0,0,0,0,0,0,1,6,13,10,0,1,0,0,2,1,0,1,0,4,11,21,27,17,5,0,0,4,0,2,11,4,12,17,17,14,5,0,10,5,0,7,11,6,4,0,0,0,0,6,12,8,0,0,6,6,0,1,7,2,0,0,0,6,16,6,0,0,0,0,2,1,0,0,5,17,11,1,6,6,0,0,2,0,0,2,2,0,0,0,3,0,5,0,0,0,7,0,0,3,10,12,3,2,12,2,0,0,1,0,2,3,0,0,4,0,0,3,0,0,0
34,0,8,0,5,0,0,0,0,7,12,2,4,2,0,0,0,0,0,5,10,9,0,0,0,0,4,0,0,0,0,1,9,19,26,16,4,0,0,1,0,1,10,2,10,16,15,12,4,0,8,2,0,9,10,5,3,0,8,0,0,4,9,7,0,0,5,5,0,0,6,0,0,0,0,6,15,5,0,0,8,0,0,0,0,0,7,15,13,3,5,4,0,0,0,0,0,1,1,0,0,0,2,0,9,0,0,0,5,0,0,2,8,9,2,2,11,1,0,0,0,0,0,0,0,0,12,2,0,2,0,0
35,0,0,8,0,8,0,0,0,1,4,9,0,4,0,0,0,0,0,0,2,7,5,0,0,1,0,2,3,0,0,0,0,12,16,22,13,3,0,0,0,0,2,13,3,11,15,13,9,7,0,5,0,0,10,7,1,2,0,15,5,0,2,6,4,0,7,2,8,0,0,5,0,0,3,3,5,22,12,0,0,6,0,0,0,7,0,6,12,13,10,4,1,0,0,0,1,7,8,0,0,0,0,1,0,6,0,0,0,2,0,0,1,5,6,1,1,8,0,0,0,1,3,0,0,0,2,9,1,7,0,0
36,0,0,0,4,3,5,0,0,1,0,1,6,0,2,0,0,0,0,0,0,0,3,3,0,1,0,0,5,1,0,0,0,3,9,12,19,12,2,0,0,0,1,5,11,4,10,13,10,12,5,0,3,0,1,7,3,0,1,7,15,5,0,0,3,4,7,4,5,8,0,0,2,0,3,6,0,12,19,9,0,0,5,0,0,7,5,0,3,12,20,10,1,0,0,0,1,8,14,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,2,5,0,0,4,0,0,1,4,0,0,0,0,0,8,8,4,0
37,0,0,0,0,2,1,4,0,0,0,0,0,4,0,2,0,8,8,0,8,0,0,3,0,0,0,0,0,5,0,8,0,0,0,5,20,17,8,10,0,0,0,0,5,9,4,10,9,8,12,13,3,0,0,0,3,3,0,0,5,12,4,0,0,0,1,3,2,2,4,0,8,10,0,1,2,2,8,15,6,0,0,1,8,0,6,3,0,2,9,20,10,0,0,0,0,0,5,22,12,0,0,0,0,8,0,5,0,8,0,0,0,8,0,2,1,8,0,0,0,0,0,12,2,0,0,0,0,5,6,4
38,0,2,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,5,5,0,6,0,0,0,0,15,5,0,0,3,0,5,0,0,0,10,17,14,5,7,0,0,0,0,4,5,1,8,6,5,9,10,18,8,0,0,0,5,0,0,2,7,2,0,0,0,0,0,0,0,1,0,5,7,0,0,0,0,5,17,7,0,0,0,5,0,3,18,8,0,10,18,8,0,0,0,0,0,12,20,11,1,0,1,0,4,0,1,0,5,0,0,0,5,0,0,0,5,0,0,0,0,2,8,0,2,0,0,0,1,2
39,0,2,2,0,0,0,0,0,2,0,0,0,11,1,0,0,0,0,1,3,0,2,0,0,1,5,13,5,0,0,1,0,5,0,0,0,8,13,12,3,5,1,0,0,1,3,3,0,8,4,3,7,8,19,9,0,1,2,5,0,0,1,4,0,0,0,0,0,0,0,0,0,0,5,7,0,0,0,0,7,16,6,0,0,0,4,0,8,18,8,0,7,17,7,0,1,0,0,2,9,19,9,0,0,0,1,3,0,0,0,1,0,0,0,6,0,0,0,2,1,1,0,0,1,5,2,0,0,0,0,0
40,0,0,1,0,0,10,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,1,0,0,0,4,12,4,0,0,0,0,1,0,0,0,5,11,11,2,4,0,0,0,0,2,0,0,7,2,2,3,9,16,6,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,6,15,5,0,0,0,3,0,8,15,7,0,7,13,3,0,0,0,0,0,9,16,8,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,10,0
41,0,0,6,0,1,0,12,6,2,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,2,0,0,5,11,1,0,0,1,0,0,0,0,0,2,10,10,4,5,0,2,0,0,0,1,0,4,1,0,5,6,12,6,0,0,6,10,2,0,0,7,0,0,1,6,0,0,0,0,1,1,1,4,0,0,0,2,5,12,2,0,2,0,0,6,8,14,4,2,4,10,5,0,0,0,0,0,6,15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,9
42,0,0,1,3,6,0,2,13,8,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,2,0,0,6,4,8,0,0,6,0,0,0,0,0,0,1,9,12,10,4,2,2,0,0,6,0,0,3,0,2,2,3,12,4,3,1,7,9,0,0,1,10,0,6,2,3,0,0,0,6,7,0,4,1,0,0,0,2,2,10,5,0,1,0,1,9,8,11,3,0,1,12,8,3,0,0,0,0,6,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0,0,0,3,0,0
43,0,4,0,1,0,2,0,3,9,16,6,8,0,0,0,0,4,0,0,0,1,0,0,0,0,3,0,0,3,5,4,0,0,7,0,0,0,0,0,0,0,5,8,7,0,0,0,1,0,3,0,0,4,0,1,2,2,16,6,0,0,2,10,0,0,0,11,1,3,2,1,0,0,0,2,6,0,3,0,4,0,0,1,0,7,0,0,2,0,0,6,9,6,1,1,2,9,5,0,1,0,0,0,14,7,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,4,0,1,4,0,0,0,0,0
44,0,0,4,0,4,0,0,0,4,6,13,3,8,0,0,0,0,1,0,0,0,0,0,0,1,0,1,3,0,0,2,2,3,0,3,0,0,0,0,0,0,1,8,6,8,0,0,0,4,0,0,0,0,5,0,0,1,6,23,13,1,0,0,7,0,7,1,14,4,0,1,0,0,3,3,0,13,3,0,0,2,0,0,0,7,5,0,0,2,7,0,3,7,2,0,2,9,16,6,0,0,0,0,4,11,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,3,0,0,1,0,7,0,0
45,0,0,2,1,2,3,0,2,7,0,4,9,4,7,0,0,0,0,0,0,0,0,0,0,7,0,0,3,2,0,0,1,4,1,0,1,0,0,0,0,0,7,3,7,13,8,0,0,2,3,0,0,0,7,2,0,0,0,13,25,15,3,0,0,9,1,5,4,16,6,0,0,0,2,5,0,3,10,0,0,0,2,0,0,1,7,4,0,2,3,7,0,3,4,0,7,3,10,14,4,0,0,0,0,2,11,6,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,1,0,1,0,0,0,1,6,0
46,0,0,0,1,0,1,2,0,1,5,0,2,7,4,7,0,0,0,0,0,0,0,0,0,0,4,0,0,3,1,0,0,0,3,0,0,6,0,0,5,0,0,6,3,6,15,8,0,0,2,1,0,0,0,7,1,0,0,3,13,24,14,2,0,0,8,0,4,6,15,11,1,0,0,1,5,0,3,10,0,0,2,2,0,0,0,12,2,0,1,5,6,0,2,3,0,6,2,8,13,3,0,2,0,0,2,13,8,0,0,0,5,0,0,0,0,0,0,0,0,0,6,1,3,0,0,0,5,0,0,8
47,0,0,1,0,7,0,0,3,2,0,2,0,2,6,3,6,0,0,0,0,0,0,0,0,2,0,3,6,0,0,0,0,6,0,0,0,0,3,0,0,4,2,6,5,5,6,14,5,6,0,0,0,0,2,0,4,1,0,3,4,14,23,13,1,1,3,5,6,5,5,14,9,0,6,6,0,8,0,0,8,0,0,0,0,3,0,2,9,3,3,1,2,5,0,0,5,3,9,0,5,11,1,0,0,0,0,3,13,6,0,0,0,3,0,0,0,0,0,0,0,2,6,4,1,0,0,0,0,8,0,0
48,0,0,0,0,0,5,2,0,3,0,0,0,1,1,5,2,6,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,2,0,0,0,0,3,0,0,4,2,5,5,6,5,10,5,5,0,0,0,0,0,0,11,1,0,3,4,16,19,10,1,0,0,5,6,2,5,14,9,0,6,3,0,5,0,0,10,1,0,0,0,5,0,0,9,2,4,0,4,3,0,0,4,2,9,0,3,8,2,0,0,7,1,4,13,5,0,0,0,0,7,0,0,0,0,7,0,2,6,5,0,0,0,0,0,6,1
49,0,0,1,0,6,0,4,3,2,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,2,0,0,6,2,2,0,0,6,0,0,0,0,0,0,2,0,2,10,1,7,5,5,2,16,6,3,0,0,2,0,0,1,9,4,1,4,6,13,16,11,4,0,6,6,3,1,4,12,15,6,3,6,0,2,0,0,10,0,0,3,0,4,0,1,12,2,1,0,1,0,2,3,7,0,6,0,0,8,0,0,0,7,1,3,12,2,0,0,0,0,4,0,0,0,0,9,6,0,6,2,0,0,0,3,0,6
50,0,0,2,0,0,5,8,6,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,2,0,0,0,0,0,0,0,0,1,8,1,7,3,1,6,14,5,1,0,0,0,0,2,0,7,6,3,12,3,9,18,9,0,0,8,2,2,0,3,11,14,4,1,2,0,0,8,0,6,0,0,11,1,0,2,2,12,2,9,0,0,0,0,1,6,0,2,0,0,3,0,2,0,7,0,2,8,1,0,0,2,0,3,0,0,2,0,8,5,0,2,0,0,0,0,2,0
