,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
16,0,0,0,7,0,0,8,0,0,0,0,0,0,4,14,18,8,2,8,0,5,4,0,4,0,0,12,3,1,9,0,0,0,0,2,2,1,2,0,0,0
17,0,0,5,0,6,0,5,13,3,0,0,0,0,1,9,13,17,9,0,7,0,4,4,0,2,0,2,12,2,0,8,0,0,0,1,1,1,0,1,0,0
18,0,0,0,3,0,4,0,3,15,5,0,1,0,0,0,7,10,14,14,4,6,0,0,1,0,0,0,2,10,1,3,7,2,0,0,0,0,0,0,0,1
19,0,0,0,0,0,0,3,0,8,12,3,4,0,0,0,0,3,7,16,12,3,2,0,0,0,0,0,0,0,9,3,2,12,2,0,0,0,0,0,0,4
20,0,0,0,0,0,0,0,3,0,7,11,3,3,2,0,0,0,5,6,15,17,7,0,0,0,0,5,0,0,0,8,1,2,10,4,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0,0,0,3,5,12,14,4,0,0,0,0,2,0,2,0,10,0,4,6,0,0,0,0,2,0
22,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,1,1,3,9,10,1,0,0,0,0,0,4,2,4,10,4,1,2,0,0,0,4,1
23,0,0,0,0,1,2,0,0,0,2,0,0,2,5,0,0,1,0,0,0,0,4,7,11,1,3,0,0,0,0,2,0,1,8,4,1,0,0,0,0,1
24,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,2,6,10,0,2,0,0,0,0,0,0,0,7,2,0,10,10,0,0
25,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,2,0,0,5,0,0,0,0,0,2,7,0,0,0,0,3,0,2,0,0,3,0,0,6,9,1
26,0,0,5,0,0,0,5,5,0,1,0,0,0,1,5,0,1,1,0,4,0,0,0,0,0,0,7,0,0,0,0,1,0,0,1,0,2,0,0,4,9
27,0,2,0,2,6,2,0,4,1,2,0,0,6,0,0,2,6,0,0,0,3,6,0,6,2,0,0,4,0,0,0,0,0,0,0,1,0,1,0,0,1
28,0,0,1,0,0,3,1,0,9,0,0,4,0,3,0,0,0,3,2,0,0,0,2,0,2,0,0,0,2,0,2,0,5,0,0,0,0,0,0,0,4
29,0,8,0,0,2,0,1,0,0,9,0,0,6,0,1,0,2,0,0,0,0,2,0,4,8,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0
30,0,0,8,0,0,0,0,1,0,0,6,0,0,6,0,0,0,2,0,0,0,0,10,0,3,5,0,8,0,0,0,0,0,0,2,0,0,0,0,0,0
31,0,0,0,6,0,0,0,0,6,0,0,10,0,0,5,0,0,0,4,0,0,0,0,6,0,0,4,0,6,0,2,0,5,0,0,0,0,0,0,0,4
32,0,2,0,0,12,2,0,0,0,8,0,0,16,6,0,2,6,0,0,1,0,6,0,6,8,0,0,1,0,4,0,0,0,3,0,0,0,0,0,0,0
33,0,0,0,0,2,10,0,0,2,0,6,1,6,13,4,0,0,3,5,0,0,0,2,0,2,5,0,0,0,0,7,0,2,0,0,0,0,0,0,0,1
34,0,0,0,0,0,1,10,0,0,1,0,6,0,8,13,3,0,2,2,4,5,0,0,1,0,1,10,0,0,0,0,5,0,0,2,0,0,0,0,0,0
35,0,0,0,0,0,0,0,8,0,0,0,0,4,0,6,10,1,0,1,0,2,3,0,0,0,0,0,7,0,8,0,8,4,8,0,0,0,0,0,8,0
36,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,3,7,1,0,0,0,0,11,1,0,0,0,8,4,0,5,0,4,1,8,0,0,0,0,0,4
37,0,0,0,0,0,0,0,0,5,1,0,4,0,0,3,0,0,4,3,0,0,0,1,7,0,0,0,0,6,3,2,4,5,3,0,5,0,0,0,0,4
38,0,0,0,0,1,2,0,0,0,7,0,0,5,0,0,0,1,0,1,0,0,1,0,2,6,3,0,0,0,4,1,0,1,3,3,0,2,0,0,0,0
39,0,8,0,0,2,1,0,0,0,0,3,0,2,5,0,0,2,1,0,0,0,2,0,2,10,4,2,0,0,0,0,0,0,0,3,5,0,1,0,0,0
40,0,0,8,0,0,0,1,0,4,0,0,8,0,0,5,0,0,0,2,0,0,0,0,0,0,7,4,0,0,0,1,0,4,0,0,0,4,0,0,0,5
41,0,0,0,4,0,0,0,0,0,3,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,1,0,0,0,14,10,0,0
42,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,8,0,0,0,0,14,4,0,0,0,0,0,1,0,0,4,12,7,0
43,0,8,0,0,2,1,0,0,0,0,0,0,2,0,5,0,2,0,0,0,0,2,0,10,8,0,0,4,10,1,0,0,0,0,0,3,0,0,3,9,3
44,0,0,6,0,0,3,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,8,15,5,0,0,9,0,0,0,0,0,0,0,0,0,2,6
45,0,0,0,5,0,0,3,0,0,0,0,0,0,2,1,0,0,2,0,0,5,0,0,0,0,7,20,10,0,0,8,0,0,0,2,0,0,0,0,0,2
46,0,0,0,0,4,0,0,3,0,0,0,0,0,2,2,0,0,2,1,0,5,4,0,0,0,0,12,18,9,0,0,6,0,0,2,2,0,0,0,0,0
47,0,0,0,0,0,1,0,0,8,0,0,4,0,0,1,0,0,0,4,0,0,1,0,0,0,0,2,8,16,8,2,0,11,1,0,0,0,0,0,0,4
48,0,8,0,0,2,0,0,0,0,8,0,0,6,0,0,0,2,0,0,0,0,2,0,2,8,0,0,1,6,13,4,0,1,8,1,2,0,0,0,0,0
49,0,0,6,0,0,0,0,0,2,0,6,1,0,3,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,5,16,6,2,0,5,0,0,0,0,0,1
50,0,0,0,5,0,0,0,0,0,1,0,6,0,2,3,0,0,2,0,4,5,0,0,0,0,0,10,0,0,0,6,14,5,0,2,5,0,0,0,0,0
51,0,2,0,0,11,2,0,0,0,2,0,0,12,2,1,0,6,0,0,0,3,11,1,6,2,0,0,7,0,0,0,4,10,3,0,2,2,0,0,0,0
52,0,8,0,0,2,11,1,0,0,0,0,0,2,12,2,0,2,6,0,0,0,5,10,3,14,4,0,0,3,0,0,0,0,7,3,2,0,1,0,0,0
53,0,2,7,0,6,4,10,0,0,2,0,0,6,2,11,1,6,1,3,0,0,6,2,16,6,14,4,0,0,1,0,0,0,0,6,3,0,0,0,0,0
54,0,2,1,5,0,6,3,9,0,0,0,0,0,7,1,9,1,7,0,1,0,0,6,6,18,8,14,4,0,0,0,0,0,0,1,13,3,0,0,0,0
55,0,0,1,0,7,7,5,2,6,7,0,0,2,0,6,0,11,1,5,0,0,2,0,8,8,19,9,12,2,0,0,0,0,0,0,3,10,2,0,0,0
56,0,0,0,0,0,6,5,3,1,5,4,0,0,0,0,3,1,9,0,2,0,0,0,0,5,9,17,7,9,10,0,8,0,8,0,0,0,7,0,8,0
57,0,0,1,0,0,0,7,6,0,1,4,2,0,5,1,0,2,6,6,0,4,0,0,0,0,4,11,17,7,7,8,0,5,0,13,3,0,0,6,0,6
58,0,0,0,0,0,0,0,6,11,1,0,8,0,0,4,0,0,0,8,4,0,0,0,0,0,0,3,7,15,6,9,7,5,4,3,10,1,0,0,5,4
59,0,0,0,0,0,0,0,0,2,9,0,0,5,0,0,1,0,0,0,5,2,0,8,0,0,0,0,11,5,12,3,6,3,2,4,3,7,0,0,0,1
60,0,2,0,0,0,0,0,0,0,2,7,0,0,6,0,0,1,1,0,0,5,2,0,8,2,0,0,1,9,3,10,1,3,1,3,11,1,5,0,0,0
61,0,0,0,0,0,0,0,0,2,0,0,8,0,0,4,0,0,0,6,0,0,2,0,0,4,0,0,0,0,8,6,9,3,2,0,1,9,0,1,0,1
62,0,0,0,0,1,2,0,0,0,4,0,0,9,0,0,1,1,0,0,3,0,1,0,1,0,7,0,0,0,0,6,4,6,1,2,0,0,8,0,0,0
63,0,0,0,0,0,0,1,0,0,0,0,0,0,8,0,0,0,0,0,0,2,0,0,0,0,0,6,0,0,0,0,3,1,3,0,0,0,10,18,8,0
64,0,8,0,0,2,0,0,0,0,0,0,0,2,0,6,0,2,0,0,0,0,4,0,2,8,0,0,5,0,0,0,0,0,0,3,2,0,0,9,15,5
65,0,0,8,0,0,1,0,0,0,0,0,0,0,4,0,5,0,4,0,0,5,0,2,0,1,7,5,0,4,0,0,0,0,0,2,3,1,0,0,7,15
66,0,2,0,5,6,2,0,0,0,2,0,0,6,0,3,0,11,1,1,0,0,11,1,8,2,1,6,2,0,2,0,0,0,0,0,2,0,0,0,0,5
67,0,0,0,0,3,5,0,0,0,0,0,0,0,4,0,0,1,9,0,0,0,1,8,0,5,1,0,3,0,8,2,8,0,8,0,0,0,0,0,8,0
68,0,2,0,0,6,5,4,0,0,2,0,0,6,0,3,0,6,0,6,0,0,6,0,14,4,5,0,0,0,0,6,0,4,0,7,0,0,0,0,0,5
69,0,0,2,0,0,3,5,4,4,0,1,5,0,4,0,2,0,4,1,5,0,0,2,4,10,1,5,0,0,0,1,5,4,3,0,4,0,0,0,0,5
70,0,0,1,1,0,0,4,6,1,4,0,0,4,5,5,0,1,5,1,0,7,0,0,1,4,9,3,5,0,0,0,0,2,2,8,1,3,0,0,0,0
71,0,0,0,0,0,0,0,2,8,0,2,1,0,1,3,3,0,0,10,0,0,4,0,0,0,1,8,0,3,0,3,0,2,1,0,4,0,0,0,0,1
72,0,0,0,0,0,0,0,0,7,5,0,6,0,0,0,1,0,0,2,8,0,0,0,0,0,0,0,4,0,2,2,2,5,1,0,0,2,0,0,0,4
73,0,0,1,0,0,0,1,1,0,7,4,0,5,5,1,0,0,5,0,1,10,0,0,0,0,0,2,0,3,0,0,0,0,3,6,1,0,1,0,0,0
74,0,0,0,0,0,1,0,0,0,1,3,1,0,4,3,0,0,0,2,0,0,10,0,0,0,7,0,0,0,2,0,0,0,0,2,5,0,0,0,0,0
75,0,0,0,0,0,1,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,7,0,0,7,6,0,0,0,0,0,0,0,0,1,1,0,0,0,0
76,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,4,0,0,5,14,4,0,0,0,0,0,0,0,0,0,0,0,0
77,0,8,0,0,2,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,2,0,10,12,2,0,4,10,1,0,0,0,0,0,2,0,0,0,0,0
78,0,0,7,0,0,2,0,0,2,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,6,10,1,0,2,10,8,0,2,0,0,0,0,0,0,0,1
79,0,0,1,6,0,0,3,1,0,2,0,0,0,5,1,0,0,5,0,2,2,0,0,0,0,5,12,2,0,0,8,6,0,0,5,1,0,0,0,0,0
80,0,0,1,0,5,0,1,4,0,0,1,0,0,5,6,0,0,5,2,0,4,1,0,0,0,0,7,12,2,0,0,6,3,0,5,6,0,0,0,0,0
81,0,2,0,0,0,5,0,0,1,0,0,0,0,1,4,4,0,1,1,0,0,4,1,0,2,0,0,7,10,0,0,0,3,1,1,12,4,0,0,0,0
82,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,3,7,0,0,0,0,0,2,8,14,10,0,0
83,0,0,5,0,0,0,5,9,0,0,0,0,0,1,5,0,0,4,0,0,0,0,0,1,0,0,0,0,0,1,6,0,0,0,1,0,1,7,13,8,0
84,0,0,0,2,1,2,0,4,6,2,0,0,1,0,0,2,1,0,1,0,0,1,0,1,0,3,0,0,0,0,0,4,0,0,0,1,0,0,6,11,5
85,0,2,0,0,8,3,1,0,0,8,0,0,6,0,0,0,8,0,0,0,0,6,0,6,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,8
86,0,0,2,0,0,7,3,1,0,0,7,0,0,8,0,0,0,10,0,0,5,0,4,0,5,2,5,0,0,0,0,0,0,0,2,0,0,0,0,0,4
87,0,0,0,0,0,0,4,0,1,0,0,6,0,0,5,0,0,0,11,1,0,2,0,1,0,2,0,1,0,4,0,4,0,4,0,0,0,0,0,4,0
88,0,0,0,0,0,0,0,4,0,0,0,0,5,2,0,4,0,2,1,10,6,0,0,0,0,0,7,0,0,0,3,0,3,0,6,0,0,0,0,0,4
89,0,0,0,0,0,0,0,0,3,0,0,0,0,7,2,0,3,2,1,0,15,5,0,0,0,0,5,5,0,0,0,1,0,1,2,6,0,0,0,0,0
