,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
35,0,0,7,6,5,0,0,0,0,1,2,4,2,0,0,0,0,3,0,2,11
36,0,0,0,4,4,3,0,0,7,0,1,1,6,0,0,0,7,0,2,0,3
37,0,0,0,1,0,0,4,0,0,3,0,0,0,8,1,5,0,3,0,7,0
38,0,10,0,0,0,0,0,2,0,0,2,0,0,0,5,0,4,0,13,3,4
39,0,0,10,0,8,8,0,8,0,8,0,2,0,0,0,1,0,3,3,9,0
40,0,0,0,7,0,5,5,0,9,0,6,0,2,0,0,0,2,0,0,0,16
41,0,0,0,0,3,0,13,3,0,5,0,3,0,2,0,1,0,0,0,1,6
42,0,0,0,0,0,1,3,11,2,0,4,0,2,0,2,0,0,0,0,0,0
43,0,0,7,0,0,0,0,3,11,2,2,3,0,0,0,0,0,2,0,0,0
44,0,0,0,8,0,0,1,0,1,7,0,0,0,2,1,5,0,0,0,5,0
45,0,0,0,1,4,0,1,0,0,0,3,0,0,2,3,6,3,0,0,5,2
46,0,0,2,0,0,3,0,0,0,0,8,1,2,0,0,0,6,11,1,0,3
47,0,0,0,7,0,0,2,0,0,0,0,8,0,6,5,1,0,2,8,2,0
48,0,0,0,0,7,0,0,2,0,0,0,5,7,0,6,3,0,0,1,6,0
49,0,0,0,0,0,4,0,0,4,0,2,0,11,3,0,3,5,2,0,0,6
50,0,0,0,0,0,0,1,0,0,4,0,7,1,10,3,0,2,3,1,0,0
51,0,0,0,0,0,0,0,0,0,0,0,0,4,0,9,1,0,0,0,0,0
52,0,10,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,10,0,0
53,0,0,10,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,9,0
54,0,0,0,9,0,0,8,0,0,0,0,0,0,0,0,2,0,0,0,1,6
55,0,0,0,1,5,0,1,4,0,0,0,0,0,2,1,5,0,0,0,5,0
56,0,0,0,0,0,2,0,0,5,0,0,0,0,0,0,0,6,0,0,0,12
57,0,0,0,0,0,0,10,0,0,1,0,0,0,0,0,1,0,1,0,1,2
58,0,0,0,0,0,0,0,7,2,0,3,0,6,0,0,0,3,2,0,0,1
59,0,0,0,0,8,8,0,8,5,10,0,3,0,2,0,0,0,2,0,0,0
60,0,0,0,0,8,16,6,8,6,13,9,0,0,0,0,0,0,0,0,0,0
61,0,0,0,5,0,6,15,5,5,3,9,9,0,4,5,1,0,0,0,1,0
62,0,10,0,0,3,0,5,13,4,3,2,8,8,0,1,1,0,0,10,0,0
63,0,0,8,0,0,0,4,3,12,2,0,0,6,7,0,0,0,0,0,9,0
64,0,0,0,13,3,0,0,0,2,8,0,0,0,10,12,2,0,0,0,1,6
65,0,0,0,3,11,1,0,0,0,0,7,0,0,0,10,11,1,0,0,0,0
66,0,0,0,0,1,9,0,0,0,0,0,7,0,0,0,9,10,0,0,0,0
67,0,0,0,0,0,0,5,0,2,0,0,0,8,0,0,0,11,9,0,0,3
68,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0,0,1,10,8,0,0
69,0,0,2,0,0,0,0,0,3,0,8,0,2,0,3,0,0,9,9,4,0
70,0,0,1,0,0,0,0,0,0,3,0,9,0,0,0,0,0,0,8,6,3
71,0,0,2,0,0,0,0,0,0,0,11,1,11,1,0,0,0,8,0,4,4
72,0,0,0,0,0,0,0,0,1,0,1,9,1,7,0,0,1,0,5,0,11
73,0,0,0,5,0,0,0,0,0,0,0,1,6,5,12,2,0,0,0,6,1
74,0,0,0,1,1,0,1,0,0,0,0,0,0,8,6,17,7,0,0,5,3
75,0,0,0,0,1,1,0,1,0,0,0,5,0,0,8,7,16,6,0,0,3
76,0,0,0,0,0,0,0,0,8,0,0,0,7,0,0,6,14,16,6,0,1
77,0,0,0,0,0,0,8,0,0,4,0,0,0,7,0,1,4,9,12,7,0
78,0,0,2,0,0,0,0,7,0,0,12,2,2,0,3,0,1,12,8,8,5
79,0,0,0,3,0,0,0,0,7,0,2,11,1,4,1,6,0,2,9,11,6
80,0,0,1,0,3,0,0,0,0,7,0,3,10,0,2,0,6,0,1,6,10
81,0,0,0,2,0,0,1,0,0,0,3,0,0,12,2,7,0,2,0,6,3
82,0,0,0,0,2,0,0,1,0,0,0,8,0,2,12,2,6,0,1,0,4
83,0,0,0,0,0,2,0,0,0,0,0,5,7,0,2,10,1,4,0,0,0
84,0,0,0,0,0,0,0,0,2,0,0,0,6,4,0,0,12,2,3,0,3
85,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,2,11,1,0,0
86,0,0,0,2,0,0,0,0,0,0,0,0,0,2,3,3,0,1,8,4,0
87,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,3,0,0,5,3
88,0,0,7,0,0,2,0,0,0,0,2,0,1,0,0,0,0,5,0,0,4
89,0,0,0,7,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0
90,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,1,0,0,0,5,0
91,0,0,0,1,0,0,1,4,0,0,0,0,0,2,1,5,0,0,0,5,2
92,0,0,0,0,1,0,0,1,3,0,0,5,0,0,2,0,4,0,0,0,3
93,0,0,0,0,8,9,0,8,0,11,1,0,2,0,0,0,0,3,0,0,0
94,0,0,0,1,0,4,10,0,6,1,7,0,0,4,1,5,0,0,0,5,0
95,0,0,0,0,1,0,1,10,0,6,0,12,2,0,4,0,4,0,0,0,3
96,0,0,0,0,0,0,0,0,17,7,6,2,14,4,0,2,7,4,0,0,1
97,0,0,0,0,0,0,4,0,7,14,4,4,4,13,3,0,1,4,1,0,0
98,0,0,0,0,0,0,4,1,0,4,11,2,2,3,12,2,0,0,1,0,0
99,0,0,0,0,0,0,0,2,0,0,3,11,1,1,3,11,1,0,0,0,0
100,0,0,0,0,0,0,0,0,9,0,0,2,13,3,0,1,18,8,0,0,1
101,0,0,0,0,0,0,4,0,0,6,0,0,3,12,2,0,8,15,5,0,0
102,0,0,1,0,0,0,0,4,0,0,6,1,0,2,10,0,0,8,14,4,0
103,0,0,0,0,8,8,0,8,2,8,0,6,0,0,0,6,0,0,6,10,1
104,0,0,0,0,0,6,6,0,7,0,7,0,5,0,0,0,5,0,0,5,9
105,0,0,0,4,0,0,6,2,0,3,0,6,0,10,4,2,0,1,0,2,1
106,0,0,7,0,4,0,0,6,2,0,5,0,6,0,7,0,2,2,0,0,1
107,0,0,0,8,0,0,1,0,4,0,0,3,0,8,1,12,2,0,0,5,0
108,0,0,1,0,6,0,0,0,1,2,0,0,3,0,4,2,13,3,0,0,5
109,0,0,0,0,0,2,8,0,0,0,0,0,0,3,0,5,3,8,0,1,0
110,0,0,0,1,0,0,2,5,0,0,0,0,0,2,4,3,5,0,5,3,0
111,0,0,0,0,0,0,8,0,1,0,0,0,0,0,1,5,0,0,0,6,0
112,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,4,0,0,0,5
113,0,0,0,0,8,8,0,8,4,8,0,0,0,0,0,0,0,3,0,0,0
114,0,10,0,0,0,6,4,0,7,2,7,0,0,0,0,0,0,0,13,3,0
115,0,0,10,0,0,0,4,2,0,5,1,7,0,0,0,0,0,0,3,12,2
116,0,0,2,6,0,0,0,3,2,0,13,3,9,0,0,0,0,8,0,2,10
117,0,0,0,2,6,0,0,0,2,2,3,18,8,8,0,0,0,0,7,0,0
118,0,0,0,0,0,4,0,0,2,0,1,8,19,9,5,0,2,0,0,4,3
119,0,0,0,0,0,0,1,0,0,2,0,6,9,18,9,3,0,0,0,0,2
120,0,0,0,0,0,0,0,0,1,0,0,0,6,8,15,6,4,0,0,0,7
121,0,0,0,0,0,0,4,0,0,0,0,0,0,5,7,14,5,1,0,0,0
122,0,0,0,1,0,0,0,1,0,0,0,0,0,2,6,10,14,4,0,3,0
123,0,0,0,5,0,0,0,0,0,0,0,0,0,4,7,7,7,10,1,1,0
124,0,0,0,0,5,0,0,0,0,0,0,5,0,0,4,5,6,5,9,0,0
125,0,0,0,0,0,2,4,0,0,0,0,0,3,0,0,3,4,3,2,8,0
126,0,0,0,0,0,0,0,4,0,0,0,5,0,2,0,0,2,2,2,0,6
127,0,10,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,1,12,2,0
128,0,10,8,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,11,8,0
129,0,0,10,4,8,8,0,8,0,8,0,0,0,0,0,0,0,0,1,7,5
130,0,0,0,11,1,5,8,0,8,0,4,0,0,2,1,3,0,0,0,4,5
131,0,0,0,1,8,0,2,5,2,5,2,3,6,0,0,0,5,2,0,0,4
132,0,10,0,0,0,6,0,0,4,0,4,1,2,3,0,0,0,4,12,2,0
133,0,10,8,0,0,0,2,0,0,2,0,3,0,0,0,0,0,0,14,8,0
134,0,0,10,5,0,0,0,0,2,0,1,0,4,0,0,0,2,0,4,11,11
135,0,0,0,10,3,0,0,0,0,0,0,1,0,3,0,0,0,1,0,3,10
136,0,10,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0
137,0,0,10,0,0,5,0,0,2,0,2,0,6,0,0,0,2,2,1,8,1
138,0,0,0,10,0,0,2,0,0,2,0,7,0,5,0,0,0,0,1,0,6
139,0,0,0,0,10,0,0,2,0,0,0,5,6,0,5,0,0,0,0,0,0
140,0,0,0,0,0,10,0,0,1,0,0,5,4,5,0,3,0,0,0,0,0
141,0,0,1,0,0,0,9,0,1,0,0,0,5,0,1,0,4,0,0,0,0
142,0,0,0,0,0,0,0,6,0,0,0,0,0,3,0,0,0,0,0,0,0
143,0,0,0,4,0,0,0,0,3,0,0,0,0,5,7,2,0,0,0,2,0
144,0,0,1,0,2,0,0,0,1,1,0,0,0,0,1,4,3,0,0,0,2
145,0,0,0,1,0,2,0,0,0,1,0,5,0,0,0,0,3,1,0,0,0
146,0,0,0,0,0,0,0,0,2,0,3,0,11,1,0,0,2,5,0,0,0
147,0,0,0,0,0,0,1,0,0,0,0,0,1,8,0,0,0,0,1,0,0
148,0,0,2,0,0,0,0,0,0,0,8,0,2,0,4,0,0,8,0,0,0
149,0,0,0,2,0,0,0,0,0,0,0,8,0,1,0,3,0,0,7,0,0
150,0,0,0,0,10,8,0,8,0,8,0,0,5,0,0,0,1,0,0,3,0
151,0,0,0,1,0,6,9,0,6,0,4,0,0,7,1,5,0,0,0,5,0
152,0,0,7,0,1,0,2,9,0,6,2,3,0,0,4,0,5,2,0,0,4
153,0,0,1,5,0,1,0,2,9,0,6,3,2,0,0,1,0,5,1,0,0
154,0,0,0,0,3,0,0,0,4,7,0,5,4,0,0,0,3,0,4,0,3
155,0,0,0,0,0,0,8,0,0,0,2,0,2,4,0,1,0,0,0,5,0
156,0,0,0,0,0,0,0,6,0,0,0,2,0,1,4,0,0,0,0,0,4
157,0,0,0,0,0,0,8,0,2,0,0,0,0,0,0,5,0,0,0,1,0
158,0,0,1,0,0,0,0,8,0,2,0,1,0,0,0,0,5,0,0,0,0
159,0,0,0,5,0,0,0,0,5,0,0,0,0,5,4,2,0,1,0,2,0
160,0,10,0,0,3,0,0,0,0,3,0,0,0,0,2,0,1,0,11,1,0
161,0,0,8,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,1,10,0
162,0,0,0,9,0,0,1,0,0,0,0,0,0,2,1,5,0,0,0,6,7
163,0,0,1,0,9,0,0,1,0,0,0,1,0,0,0,0,5,0,0,0,5
164,0,0,0,1,0,9,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0
165,0,0,0,0,1,0,6,0,0,0,0,5,4,0,0,0,0,0,2,0,0
166,0,0,2,0,0,0,0,5,0,0,8,0,7,0,0,0,0,8,0,0,0
167,0,0,0,1,0,0,4,0,4,0,0,6,0,6,0,0,0,0,5,0,0
168,0,0,0,0,0,0,0,2,0,2,0,0,5,0,6,0,0,0,0,4,0
169,0,0,0,0,0,0,4,0,1,0,0,0,0,4,0,5,0,0,0,0,3
170,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,4,0,0,0,0
171,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,2,0,2,0,0,0
172,0,0,1,0,0,0,0,0,0,1,0,1,4,0,0,0,2,0,1,0,0
173,0,0,2,0,0,0,0,0,0,0,9,0,3,0,0,0,0,10,0,0,0
174,0,0,0,7,0,0,0,0,0,0,0,9,0,7,5,1,0,0,7,1,0
175,0,0,0,0,7,0,0,0,0,0,0,5,8,0,7,3,0,0,0,5,0
176,0,0,0,0,0,4,0,0,2,0,2,0,11,4,0,4,5,2,0,0,5
177,0,0,0,0,0,0,2,0,0,0,0,2,1,10,4,0,3,4,1,0,0
178,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,3,0,2,3,0,0
179,0,0,7,0,0,0,0,0,0,0,2,0,0,0,0,6,3,2,0,0,0
180,0,0,0,12,2,0,0,0,0,0,0,2,0,4,5,1,3,0,0,1,0
181,0,0,0,2,10,0,0,0,7,0,0,0,4,0,1,3,8,3,0,0,2
182,0,0,0,0,10,18,8,8,0,15,5,0,0,0,0,0,1,7,1,0,0
183,0,0,0,0,0,7,19,9,7,5,10,2,0,0,0,0,0,0,3,0,0
184,0,0,0,5,0,0,9,15,6,3,1,10,0,4,5,1,0,0,0,4,0
185,0,0,0,0,2,0,0,6,12,3,0,0,7,0,3,3,0,0,0,0,0
186,0,0,0,1,0,0,1,0,4,8,0,0,0,9,1,8,1,0,0,5,0
187,0,0,0,0,0,0,8,0,0,0,3,0,0,0,8,2,4,0,0,1,2
188,0,0,0,0,0,0,0,6,7,0,0,2,2,0,0,6,9,4,0,0,2
189,0,0,0,4,0,0,0,0,3,3,0,0,0,7,4,2,3,5,1,2,0
190,0,0,0,0,2,0,0,0,0,1,2,0,0,0,7,3,1,2,4,0,1
191,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,4,4,0,0,1,0
192,0,0,0,0,8,8,0,8,0,9,0,0,0,0,0,0,2,3,0,0,0
193,0,0,0,0,0,6,4,0,10,0,8,0,1,0,0,0,2,1,2,0,3
194,0,0,0,0,0,0,3,4,0,10,0,13,3,0,0,0,0,0,0,0,0
195,0,0,2,0,0,0,0,2,4,0,18,8,15,5,0,0,0,8,0,0,0
196,0,0,0,0,8,8,0,8,0,12,8,18,8,11,1,0,0,0,6,0,0
197,0,0,2,0,0,7,3,0,8,2,20,10,20,10,7,0,0,8,0,2,0
198,0,0,0,2,0,0,4,3,0,8,10,25,15,19,10,5,0,0,7,0,0
199,0,0,0,1,0,0,1,0,1,0,4,15,22,17,20,15,5,0,0,12,2
200,0,0,0,5,0,0,0,0,0,0,0,5,12,26,22,21,12,2,0,2,9
201,0,0,0,5,1,0,0,0,0,0,0,0,2,16,31,23,18,8,0,1,0
202,0,0,0,1,1,0,1,0,0,0,0,0,0,6,19,36,26,14,4,5,0
203,0,0,0,0,1,1,0,1,0,0,0,5,0,0,9,24,35,25,13,2,3
204,0,0,1,0,0,1,0,0,1,0,0,1,4,0,0,14,24,35,25,13,1
205,0,0,0,1,0,0,0,0,0,1,0,5,0,3,0,4,13,25,34,24,12
206,0,0,0,0,9,8,0,8,0,8,0,0,2,0,0,0,3,13,23,30,21
207,0,0,0,0,0,7,4,0,10,0,7,0,1,0,0,0,2,3,12,20,33
208,0,0,2,0,0,0,2,3,0,9,8,5,2,0,0,0,0,10,2,8,19
209,0,0,0,1,0,0,8,0,0,0,4,5,2,2,0,1,0,0,6,3,9
210,0,0,0,0,0,0,0,5,2,0,2,3,11,1,0,0,3,2,0,3,3
211,0,0,0,1,0,0,1,0,3,0,0,0,1,13,3,5,0,0,0,5,0
212,0,0,0,0,0,0,0,0,1,0,0,0,0,3,10,0,6,0,0,0,12
213,0,0,0,1,0,0,1,0,0,0,0,0,0,2,4,15,5,2,0,5,2
214,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,5,14,4,12,2,2
215,0,0,7,5,0,0,0,0,0,0,0,0,0,4,5,1,4,10,2,13,3
216,0,0,2,3,4,0,0,0,0,0,8,0,2,0,0,1,1,12,9,3,11
217,0,0,0,2,3,4,0,0,0,0,0,13,3,1,0,0,0,2,11,7,1
218,0,0,0,0,0,0,1,0,1,0,0,3,13,3,0,0,1,0,1,8,14
219,0,0,0,0,0,0,0,1,0,1,0,5,3,12,3,0,0,0,0,0,6
220,0,0,0,0,0,0,0,0,3,0,3,0,11,2,9,0,2,2,0,0,0
