,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
18,0,0,0,0,0,7,0,3,12,9,0,18,26,19,29,19,15,26,19,9,10,5,10,6,14,7,10,9,0,0,2,3,12,2,0,11,18
19,0,0,6,0,0,1,6,0,2,14,11,8,17,23,19,30,20,16,25,18,10,7,5,7,5,16,6,10,9,2,0,0,2,18,8,1,12
20,0,0,0,3,0,0,0,4,0,4,11,9,7,15,22,20,27,22,15,22,15,8,3,3,4,6,21,11,7,5,2,0,0,8,15,6,2
21,0,1,0,1,4,0,0,0,3,0,3,10,10,6,15,21,21,26,21,14,21,14,6,2,4,2,11,19,10,5,2,1,0,0,7,14,5
22,0,0,0,0,0,3,10,0,0,2,0,0,9,6,5,14,20,18,36,31,21,17,11,2,1,3,1,8,17,9,1,0,0,0,10,4,13
23,0,0,0,0,0,0,1,7,0,0,0,0,0,6,4,4,14,17,26,34,29,19,14,8,2,0,0,0,8,16,6,0,0,0,0,7,3
24,0,1,0,1,1,0,0,0,6,0,0,0,1,0,6,3,5,13,16,25,33,28,18,13,9,0,0,0,0,6,13,5,0,0,0,0,6
25,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,5,9,15,21,31,25,16,10,4,0,0,0,0,14,11,9,0,0,0,0
26,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,3,0,4,8,14,21,29,24,17,8,3,0,0,0,4,13,9,8,0,0,0
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,6,12,19,27,22,13,10,1,0,0,0,3,13,7,5,0,0
28,0,0,2,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,9,0,0,2,10,17,27,30,20,8,3,8,0,0,3,15,6,1,0
29,0,0,0,1,0,0,10,0,0,0,7,0,0,0,0,0,0,0,10,19,9,0,0,6,17,26,27,17,6,2,4,0,0,5,25,15,3
30,0,0,6,0,0,1,0,7,0,2,2,4,0,0,0,1,0,0,0,9,20,10,0,0,7,19,22,27,17,8,0,1,0,6,15,22,16
31,0,0,0,3,0,0,0,0,5,0,0,0,1,0,0,0,0,2,0,0,10,18,8,0,0,9,24,18,24,14,8,0,0,0,5,13,19
32,0,0,6,0,2,1,0,0,0,7,2,0,0,0,0,1,0,0,1,0,1,8,18,8,0,2,14,24,18,26,16,5,0,6,0,3,14
33,0,0,1,6,0,8,0,0,0,0,9,0,0,0,0,6,1,0,0,0,6,0,11,15,8,0,4,17,24,17,22,13,3,1,5,0,9
34,0,1,0,2,7,0,7,0,0,0,0,8,1,0,0,0,7,0,0,0,0,5,1,10,16,6,0,7,16,22,14,21,11,2,0,4,0
35,0,0,0,0,0,5,0,4,0,0,0,0,6,0,0,0,0,7,0,0,0,0,4,0,8,13,5,0,6,13,26,16,29,19,7,0,2
36,0,0,0,0,0,0,2,0,3,0,0,0,0,5,0,0,0,1,4,0,0,0,0,3,0,4,17,7,0,3,14,25,19,26,16,6,0
37,0,0,1,0,0,6,0,0,0,2,2,0,0,0,4,6,0,0,0,3,6,0,3,0,3,0,7,20,10,0,4,13,23,20,25,15,12
38,0,0,2,1,0,0,5,0,0,8,2,0,0,0,0,3,6,0,0,0,2,2,0,0,0,11,1,10,22,18,8,3,11,25,19,21,14
39,0,0,0,0,0,0,0,4,0,0,5,1,0,0,0,0,1,7,0,0,0,1,0,0,0,1,15,5,12,18,17,7,2,15,22,18,18
40,0,0,6,0,0,1,0,0,1,2,2,2,0,0,0,1,0,0,6,0,1,0,1,0,0,2,5,15,5,14,15,14,5,8,14,19,19
41,0,0,0,6,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,4,0,0,0,0,0,0,0,5,15,5,10,12,11,2,6,11,17
42,0,1,0,1,7,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,3,0,0,0,1,0,0,0,5,13,3,9,10,10,1,5,10
43,0,5,0,5,6,7,0,0,0,0,0,0,5,0,3,0,5,0,0,0,0,2,0,0,5,1,0,0,1,5,10,2,7,9,9,0,5
44,0,0,7,0,5,8,6,0,0,0,7,0,0,2,0,5,0,5,0,0,2,0,3,0,0,5,0,1,0,1,1,7,1,9,8,6,2
45,0,0,6,6,0,6,7,3,0,2,2,4,0,0,1,1,4,0,4,0,1,0,0,0,0,2,1,0,1,2,0,0,5,7,8,5,7
46,0,0,6,5,5,1,5,4,0,2,4,0,3,0,0,2,0,2,0,3,1,0,0,0,0,2,0,1,0,3,0,0,0,11,6,5,6
47,0,0,0,4,3,2,0,4,3,0,0,3,0,2,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,2,0,0,1,8,5,2
48,0,0,6,0,3,4,1,0,1,5,2,0,2,0,1,1,0,0,0,0,1,0,0,0,0,2,0,6,0,2,0,0,0,6,0,5,6
49,0,0,6,5,0,4,3,0,0,3,7,0,0,0,0,2,0,0,0,0,1,0,0,0,0,2,0,0,6,2,0,0,0,6,5,0,6
50,0,1,0,7,6,0,3,2,0,0,2,6,1,0,0,0,3,0,0,0,0,0,0,0,1,0,1,0,0,4,0,0,0,0,5,4,0
51,0,0,0,0,5,4,0,1,0,0,0,0,4,0,0,0,0,10,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,3,2
52,0,0,2,0,0,4,3,0,0,8,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,8,0,0,2,8,0,0,0,2,0,0,2
53,0,2,0,4,2,0,3,2,0,0,7,0,2,0,5,0,2,0,0,8,0,0,0,0,2,0,7,0,0,1,6,0,0,0,1,0,0
54,0,0,0,0,3,0,0,16,15,5,0,20,10,15,5,2,0,0,0,0,5,13,3,13,3,0,0,3,0,0,0,19,9,0,0,14,4
55,0,0,0,0,0,2,10,6,12,14,4,10,19,9,14,4,1,0,10,10,0,3,10,3,12,2,0,0,1,0,0,9,16,8,10,4,13
56,0,0,0,0,0,0,0,9,5,8,11,3,9,18,9,11,2,2,0,7,7,0,0,9,2,8,6,0,0,0,0,0,8,13,5,9,3
57,0,0,2,0,0,2,0,0,6,5,15,8,3,8,17,11,11,2,1,0,9,4,1,0,9,2,5,7,0,0,0,0,0,10,12,2,11
58,0,0,0,1,0,0,0,13,13,3,5,28,18,16,7,14,10,9,0,0,0,22,12,14,4,5,0,1,5,0,0,13,3,0,6,25,15
59,0,0,0,0,0,0,0,3,11,9,0,18,25,16,15,5,11,12,6,0,0,12,18,10,11,1,10,0,0,1,0,3,12,2,0,15,22
60,0,0,0,0,0,0,0,0,1,10,10,8,17,22,14,15,5,10,10,4,0,2,12,15,9,10,0,10,1,0,0,0,5,12,2,5,15
61,0,0,0,0,0,0,0,0,0,0,9,5,7,12,19,11,11,4,6,6,1,0,2,7,11,4,7,0,6,0,1,0,2,2,8,0,5
62,0,0,6,0,0,1,0,0,0,2,2,6,4,4,11,20,10,9,3,5,7,0,0,0,6,13,3,7,0,8,0,0,0,8,1,5,1
63,0,0,2,6,0,0,0,0,0,8,2,0,6,0,3,10,20,10,8,2,4,3,0,0,0,14,9,1,9,8,3,0,0,2,7,0,4
64,0,0,6,1,5,1,0,0,0,2,10,0,0,3,0,4,10,18,9,7,3,1,3,0,0,4,10,9,1,11,5,0,0,6,1,4,1
